GENERATION,BEST,AVG,WORST
575,-44285.04,-55734.5,-134945.25
576,-44285.04,-54554.12,-135750.7
577,-44285.04,-53682.37,-132997.51
578,-44285.04,-54406.08,-119930.9
579,-44285.04,-54465.73,-117023.07
580,-44216.97,-55127.03,-136491.54
581,-44133.38,-55996.75,-140257.42
582,-44133.38,-54900.11,-137537.31
583,-44133.38,-53643.1,-119523.91
584,-43987.85,-55962.29,-139437.88
585,-43987.85,-54769.19,-147084.36
586,-43987.85,-55299.98,-134455.66
587,-43987.85,-54489.18,-121889.25
588,-43987.85,-54369.29,-143358.4
589,-43987.85,-54954.27,-110934.1
590,-43987.85,-54084.63,-117726.99
591,-43987.85,-56793.62,-135449.03
592,-43987.85,-55135.95,-127476.5
593,-43987.85,-52978.31,-116667.25
594,-43987.85,-53928.5,-115195.39
595,-43987.85,-54167.84,-140546.42
596,-43987.85,-55557.81,-124611.96
597,-43987.85,-55509.31,-154535.85
598,-43987.85,-54372.66,-154960.37
599,-43987.85,-53554.09,-117252.51
600,-43987.85,-55046.4,-144770.95
601,-43987.85,-53027.72,-143237.52
602,-43987.85,-53661.56,-131313.89
603,-43987.85,-55141.71,-125333.4
604,-43987.85,-54978.83,-120152.31
605,-43987.85,-54531.92,-126516.92
606,-43987.85,-53385.01,-115924.83
607,-43987.85,-54368.78,-110107.26
608,-43987.85,-54278.92,-138286.38
609,-43987.85,-53167.83,-126320.95
610,-43987.85,-55846.1,-121335.93
611,-43987.85,-56289.41,-132956.31
612,-43987.85,-56335.59,-131103.93
613,-43987.85,-54169.6,-137442.23
614,-43987.85,-55641.09,-124101.88
615,-43987.85,-55516.88,-134543.86
616,-43987.85,-54051.45,-129114.51
617,-43987.85,-53994.75,-117471.37
618,-43987.85,-54621.35,-137666.84
619,-43987.85,-53305.42,-114134.56
620,-43987.85,-54811.85,-125562.38
621,-43987.85,-53989.58,-134994.74
622,-43987.85,-53887.45,-132926.18
623,-43987.85,-52942.15,-139613.2
624,-43987.85,-55270.09,-133988.71
625,-43987.85,-53675.83,-130685.79
626,-43987.85,-54613.48,-135879.97
627,-43987.85,-53959.05,-124150.4
628,-43987.85,-52553.42,-108438.3
629,-43987.85,-53786.93,-116073.62
630,-43987.85,-53974.36,-124189.43
631,-43987.85,-53750.49,-125572.82
632,-43987.85,-54050.93,-174964.45
633,-43987.85,-52810.36,-120163.58
634,-43987.85,-53223.25,-127110.5
635,-43987.85,-53739.63,-138087.31
636,-43987.85,-53874.12,-125603.8
637,-43987.85,-52641.65,-119677.02
638,-43987.85,-54459.95,-132548.99
639,-43987.85,-52641.32,-128871.74
640,-43987.85,-53046.52,-130174.3
641,-43987.85,-55199.49,-145287.01
642,-43987.85,-54958.39,-163835.23
643,-43987.85,-55039.88,-125096.39
644,-43987.85,-53336.76,-135164.17
645,-43987.85,-55315.9,-150236.88
646,-43987.85,-54151.6,-114147.83
647,-43987.85,-57380.02,-125526.99
648,-43987.85,-54850.52,-138741.32
649,-43987.85,-54784.36,-131033.69
650,-43987.85,-53846.75,-124099.71
651,-43987.85,-53698.83,-121521.25
652,-43987.85,-55520.52,-131859.47
653,-43987.85,-54233.84,-123979.63
654,-43987.85,-54743.08,-125536.9
655,-43987.85,-53521.61,-114526.21
656,-43987.85,-54756.24,-124434.01
657,-43987.85,-54175.48,-120926.87
658,-43987.85,-54853.45,-139628.13
659,-43987.85,-53527.54,-125855.01
660,-43987.85,-54997.13,-120963.51
661,-43987.85,-52995.93,-129446.64
662,-43987.85,-55082.17,-117836.68
663,-43987.85,-53390.81,-127609.05
664,-43987.85,-54428.29,-116736.92
665,-43987.85,-55799.15,-136466.94
666,-43987.85,-54041.54,-133227.22
667,-43987.85,-54104.83,-145023.47
668,-43987.85,-52960.79,-115722.76
669,-43987.85,-55900.67,-143592.32
670,-43987.85,-53363.31,-124070.3
671,-43987.85,-55138.4,-139434.36
672,-43987.85,-54065.93,-139532.1
673,-43987.85,-54889.63,-120588.49
674,-43987.85,-53625.95,-154084.56
675,-43987.85,-55268.07,-131368.71
676,-43987.85,-54814.08,-136535.56
677,-43987.85,-55132.56,-126629.44
678,-43987.85,-54179.01,-121859.81
679,-43987.85,-56206.75,-137804.84
680,-43987.85,-53736.08,-133082.68
681,-43987.85,-53348.22,-130905.02
682,-43987.85,-54879.98,-138381.62
683,-43987.85,-54730.78,-138200.32
684,-43987.85,-54092.25,-133673.18
685,-43987.85,-54725.42,-121309.83
686,-43987.85,-53120.35,-143445.06
687,-43987.85,-54938.79,-143632.87
688,-43987.85,-54335.98,-118275.31
689,-43987.85,-53750.51,-114948.37
690,-43987.85,-53022.6,-118057.13
691,-43575.79,-54166.87,-115650.04
692,-43987.85,-55750.47,-130266.22
693,-43987.85,-53565.91,-121436.68
694,-43987.85,-53495.88,-115135.2
